Timestamp,What is your age? ,   What is your gender?  ,In which state did you reside when you took the JAMB exam?  ,  What is your current status?  ,  In what year did you take the JAMB exam?  ,  What was your total JAMB score?  ,  What was your intended course of study?  ,  What type of secondary school did you attend?  ,  How many hours per week did you study for JAMB?  ,  When did you start preparing for JAMB?  ,Did you attend any JAMB tutorial centers?,  Did you use past JAMB questions for practice?  , Did you take mock JAMB exams before the actual exam?  ," How would you rate your access to learning materials (textbooks, past questions, online resources)?  ",  Did you have reliable internet access during your preparation?  , What device(s) did you use to study or practice online? (Select all that apply),"  Were there any technical challenges during your JAMB exam (e.g., system malfunction, power outage)?  ",  Were you satisfied with your performance?  ," In your opinion, what were the major reasons for your JAMB performance? (Open-ended)"," Briefly describe the technical challenge (e.g., system issues, power outage, login errors)  "
04/06/2025 12:17:38,20,Female,Abia,University/polytechnic student,2022,280,Computer science ,Private,16–20,1–3 months before,No,"Yes, occasionally",No,Excellent,Yes,Smartphone,No,Yes,I read well,
04/06/2025 12:28:52,20,Female,Anambra,University/polytechnic student,2021,186,Computer engineering ,Federal ,6–10,4–6 months before,No,"Yes, regularly",Yes,Excellent,Sometimes,Tablet,No,No,Good ,
04/06/2025 12:29:15,20,Female,Anambra,University/polytechnic student,2021,192,Medicine,Mission/Religious,6–10,1–3 months before,No,"Yes, regularly",No,Excellent,No,None,Yes,No,Not enough preparation and system issues,System issues
04/06/2025 12:31:02,25,Male,Anambra,University/polytechnic student,2023,205,Psychology ,Mission/Religious,6–10,4–6 months before,Yes,"Yes, occasionally",No,Fair,Yes,Smartphone,Yes,Yes,Nothing ,The supervisor said the was issue with the portal from Abuja/HQ
04/06/2025 12:31:18,20,Female,Bayelsa,University/polytechnic student,2023,221,Nursing,Private,More than 20,More than 6 months before,No,"Yes, occasionally",No,Good,Sometimes,Smartphone,No,No,Didnt study enough,
04/06/2025 12:32:27,22,Male,Delta,University/polytechnic student,2020,184,ELECTRICAL ENGINEERING,Public,6–10,1–3 months before,Yes,"Yes, occasionally",No,Fair,Yes,Smartphone,No,No,peer group,
04/06/2025 12:35:15,20,Male,Kaduna,University/polytechnic student,2021,201,Electrical engineering ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",No,Fair,Yes,"Smartphone, Laptop",No,No,Don't know actually ,
04/06/2025 12:35:28,20,Female,Anambra,University/polytechnic student,2021,228,Medical Rehabilitation ,Mission/Religious,16–20,1–3 months before,No,"Yes, occasionally",No,Fair,No,None,No,No,A lot of pressure and tension,
04/06/2025 12:36:10,20,Female,Anambra,University/polytechnic student,2021,176,Nutrition ,Mission/Religious,11–15,Less than 1 month before,No,"Yes, occasionally",No,Fair,No,None,Yes,No,Less preparation ,System issues
04/06/2025 12:37:12,21,Male,Anambra,University/polytechnic student,2021,224,Electrical engineering ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",Yes,Good,Sometimes,Smartphone,No,Not sure,It was my first tym writing CBT exam and tension and I didn't read well,
04/06/2025 12:38:43,19,Male,Lagos,University/polytechnic student,2021,200,Electrical engineering ,Private,0–5,4–6 months before,Yes,"Yes, regularly",Yes,Fair,No,None,No,Yes,Because it was what I read,
04/06/2025 12:45:17,20,Female,Anambra,University/polytechnic student,2021,250,Pharmacy ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Good,Yes,None,Yes,Not sure,None,System issues
04/06/2025 12:45:47,20,Female,Anambra,University/polytechnic student,2021,280,Medicine and surgery ,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",No,Good,Sometimes,Laptop,No,Yes,Consistent studies ,
04/06/2025 12:46:37,20,Female,Anambra,University/polytechnic student,2021,220,Electrical engineering ,Mission/Religious,6–10,1–3 months before,No,"Yes, occasionally",No,Excellent,No,None,No,No,I studied well and revised last questions ,
04/06/2025 12:50:33,21,Male,Abia,University/polytechnic student,2021,180,Electrical engineering ,Private,6–10,1–3 months before,No,No,No,Good,Yes,Smartphone,No,No,Poor reading,
04/06/2025 12:54:46,22,Male,Anambra,University/polytechnic student,2021,201,Electronics and Computer Engineering ,Mission/Religious,16–20,1–3 months before,No,"Yes, regularly",No,Good,No,Laptop,No,No,Some of the answers were not there and also the time was not enough,
04/06/2025 13:07:09,21,Female,Anambra,University/polytechnic student,2021,230,Nursing,Mission/Religious,More than 20,More than 6 months before,No,"Yes, regularly",Yes,Good,Sometimes,Desktop,No,No,"I don't really know, but I expected something higher",
04/06/2025 13:07:58,17,Female,Anambra,University/polytechnic student,2021,245,Medicine and surgery ,Mission/Religious,6–10,1–3 months before,No,"Yes, occasionally",Yes,Fair,No,None,Yes,No,My physics ,System issues 
04/06/2025 13:11:57,22,Male,Delta,University/polytechnic student,2021,221,Electrical engineering ,Private,6–10,More than 6 months before,Yes,"Yes, regularly",No,Good,Yes,"Smartphone, Laptop, Desktop",No,Yes,To pass and enter the university and study my preferred course ,
04/06/2025 13:14:04,23,Male,Anambra,University/polytechnic student,2020,230,Engineering ,Mission/Religious,6–10,1–3 months before,Yes,"Yes, regularly",Yes,Good,Yes,Smartphone,No,Yes,It was solely based on my performance ,
04/06/2025 13:19:50,22,Female,FCT(Abuja),University/polytechnic student,2021,219,Accounting ,Public,16–20,More than 6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Smartphone,Yes,No,Alot,My computer tripped off
04/06/2025 13:23:56,25,Female,Bayelsa,University/polytechnic student,2024,212,Microbiology ,Private,6–10,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Smartphone,No,Not sure,I feel I didn't study more.,
04/06/2025 13:31:27,20,Prefer not to say,Lagos,University/polytechnic student,2020,270,Electrical engineering ,Private,16–20,1–3 months before,No,"Yes, occasionally",No,Good,Yes,"Smartphone, Laptop",No,Not sure,"I put in my best effort, so the result was unexpected. I'm still reflecting on what might have gone wrong to better understand and improve.",
04/06/2025 13:55:56,21,Male,Kaduna,University/polytechnic student,2020,240,Electrical engineering ,Private,6–10,4–6 months before,No,"Yes, regularly",Yes,Good,No,None,No,Yes,"Well i read extensively, and i attended a good secondary school, students rarely failed jamb in that school ",
04/06/2025 14:23:10,20,Female,Anambra,University/polytechnic student,2021,217,Medicine and surgery ,Mission/Religious,16–20,More than 6 months before,No,"Yes, occasionally",No,Good,Sometimes,"Laptop, Desktop",No,No,Maybe I didn't study well enough,
04/06/2025 17:05:31,18,Female,Lagos,University/polytechnic student,2021,296,Computer science ,Private,6–10,More than 6 months before,No,"Yes, regularly",Yes,Good,Yes,Laptop,Yes,Yes,Hard work ,System issues 
04/06/2025 17:33:56,22,Male,Anambra,University/polytechnic student,2022,255,Pharmacy ,Private,0–5,1–3 months before,No,"Yes, occasionally",No,Excellent,Yes,Smartphone,No,Not sure,The method I used in studying ,
05/06/2025 01:10:30,20,Female,Anambra,University/polytechnic student,2021,218,Electrical engineering ,Mission/Religious,11–15,4–6 months before,No,"Yes, occasionally",Yes,Good,No,None,No,Not sure,I guess didn’t study enough ,
05/06/2025 02:04:36,18,Male,Anambra,University/polytechnic student,2022,251,Computer science ,Private,0–5,Less than 1 month before,No,"Yes, occasionally",No,Good,Yes,"Smartphone, Laptop, Tablet",No,Yes,I was just scared shaa. I never for once read or practiced until the week of my exam. I was to write on may 6th my study started on like april 29th. Turned out to be easier than i thought,
05/06/2025 02:06:27,20,Male,Anambra,University/polytechnic student,2022,255,Computer science ,Private,16–20,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Smartphone,No,Not sure,Consistency in practice ,
05/06/2025 02:26:57,25,Female,Ogun,Graduate,2020,320,Medicine and surgery ,Mission/Religious,More than 20,More than 6 months before,Yes,"Yes, regularly",No,Good,Yes,Smartphone,No,Yes,My hardwork ,
05/06/2025 02:37:16,21,Male,Enugu,University/polytechnic student,2022,286,Computer Science ,Private,11–15,1–3 months before,Yes,"Yes, regularly",Yes,Good,Sometimes,"Smartphone, Laptop",No,Yes,A good teacher and willingness to work hard from me,
05/06/2025 02:51:06,20,Male,Lagos,University/polytechnic student,2022,221,Mechanical engineering ,Private,6–10,1–3 months before,No,"Yes, occasionally",No,Good,Yes,Smartphone,No,Yes,I didn't prepare enough ,
05/06/2025 03:01:32,20,Female,Anambra,University/polytechnic student,2021,208,Medicine ,Public,0–5,More than 6 months before,No,"Yes, regularly",Yes,Fair,No,None,Yes,No,I didn’t study harder ,Power outage
05/06/2025 03:10:40,23,Male,Ebonyi,Graduate,2020,295,Marketing management ,Private,0–5,Less than 1 month before,Yes,No,Yes,Excellent,Yes,"Smartphone, Laptop",No,Yes,I just had to do well,
05/06/2025 03:18:12,18,Female,Anambra,University/polytechnic student,2025,252,Law,Private,6–10,Less than 1 month before,No,"Yes, regularly",No,Poor,Yes,Smartphone,No,No,Not enough studying ,
05/06/2025 03:33:45,30,Male,Delta,Graduate,2020,219,Marketing,Public,0–5,Less than 1 month before,Yes,"Yes, regularly",No,Good,Yes,Smartphone,Yes,No,Study,System issues 
05/06/2025 03:44:11,27,Male,Benue,Graduate,2020,195,Accounting ,Public,0–5,Less than 1 month before,Yes,No,No,Poor,Yes,None,No,Yes,Because I studied and prepared for it's ,
05/06/2025 03:45:48,21,Male,Bayelsa,Graduate,2020,215,Marketing ,Private,6–10,4–6 months before,No,"Yes, regularly",Yes,Fair,Yes,Smartphone,No,No,Pressure ,
05/06/2025 03:52:01,26,Female,Imo,University/polytechnic student,2020,215,Public Health,Private,11–15,More than 6 months before,Yes,"Yes, regularly",Yes,Good,Sometimes,Smartphone,Yes,No,I really can't say,Bad network
05/06/2025 04:07:39,20,Female,Lagos,University/polytechnic student,2024,182,Public administration ,Public,6–10,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Laptop,Yes,No,The system ,chio.simon@stu.unizik.edu.ng
05/06/2025 04:22:00,20,Female,Lagos,University/polytechnic student,2022,250,Computer science ,Private,6–10,4–6 months before,No,"Yes, regularly",No,Excellent,Sometimes,Smartphone,No,Yes,Regular studying,
05/06/2025 04:23:35,19,Female,Anambra,University/polytechnic student,2022,292,Computer science ,Mission/Religious,0–5,Less than 1 month before,No,"Yes, occasionally",No,Good,Sometimes,Laptop,No,Yes,God's grace ,
05/06/2025 05:01:06,21,Male,Kano,Secondary school student,2020,213,Biology,Private,6–10,Less than 1 month before,Yes,"Yes, regularly",No,Good,Sometimes,Laptop,No,Yes,To pass,
05/06/2025 05:08:55,22,Male,Imo,University/polytechnic student,2020,213,Accounting ,Public,More than 20,4–6 months before,Yes,"Yes, regularly",No,Good,Sometimes,Smartphone,Yes,Not sure,I study harder for it but I felt like the system are not that satisfying.,System issues and power outages was the major we had that very day 
05/06/2025 05:13:12,24,Female,Edo,Graduate,2020,170,Banking and finance,Public,6–10,Less than 1 month before,Yes,No,No,Excellent,No,Smartphone,Yes,No,Nothing it just happened that way ,Yes can’t not start on time system was not working well 
